Date;X
01.01.1947;129.1
01.04.1947;130.9
01.07.1947;132.9
01.10.1947;137
01.01.1948;140.6
01.04.1948;142.2
01.07.1948;147
01.10.1948;148.1
01.01.1949;146.4
01.04.1949;144.9
01.07.1949;143.8
01.10.1949;143
01.01.1950;147.2
01.04.1950;153.8
01.07.1950;162.5
01.10.1950;170.3
01.01.1951;178.8
01.04.1951;185.1
01.07.1951;188.1
01.10.1951;191.7
01.01.1952;196.4
01.04.1952;197.7
01.07.1952;201.8
01.10.1952;209.6
01.01.1953;213.4
01.04.1953;216.5
01.07.1953;216.8
01.10.1953;215.4
01.01.1954;213.4
01.04.1954;213
01.07.1954;213.5
01.10.1954;217.8
01.01.1955;222.2
01.04.1955;228.4
01.07.1955;234.2
01.10.1955;238.7
01.01.1956;243.2
01.04.1956;247.9
01.07.1956;250.8
01.10.1956;256.7
01.01.1957;260.6
01.04.1957;262.5
01.07.1957;265.1
01.10.1957;263.7
01.01.1958;260.2
01.04.1958;259.9
01.07.1958;267.7
01.10.1958;272.7
01.01.1959;280.2
01.04.1959;286.9
01.07.1959;287.4
01.10.1959;290.7
01.01.1960;299.3
01.04.1960;302.3
01.07.1960;303.2
01.10.1960;302.7
01.01.1961;303.7
01.04.1961;308
01.07.1961;313
01.10.1961;319.7
01.01.1962;326.2
01.04.1962;332.1
01.07.1962;334.9
01.10.1962;338.4
01.01.1963;343.4
01.04.1963;348.3
01.07.1963;353.4
01.10.1963;359.6
01.01.1964;366
01.04.1964;373.5
01.07.1964;380.9
01.10.1964;387
01.01.1965;393.8
01.04.1965;400.8
01.07.1965;409.3
01.10.1965;421.4
01.01.1966;434.1
01.04.1966;445.4
01.07.1966;456.7
01.10.1966;464.9
01.01.1967;471.1
01.04.1967;476.8
01.07.1967;486.4
01.10.1967;497.4
01.01.1968;512.2
01.04.1968;525.3
01.07.1968;539.2
01.10.1968;551.7
01.01.1969;564.2
01.04.1969;578.2
01.07.1969;595
01.10.1969;606.6
01.01.1970;616.7
01.04.1970;622
01.07.1970;630
01.10.1970;631.8
01.01.1971;649.9
01.04.1971;661.8
01.07.1971;672.2
01.10.1971;684.2
01.01.1972;710.6
01.04.1972;724.7
01.07.1972;738.1
01.10.1972;761.2
01.01.1973;787.8
01.04.1973;805.6
01.07.1973;822.8
01.10.1973;844.1
01.01.1974;860.9
01.04.1974;881.1
01.07.1974;902.8
01.10.1974;916.5
01.01.1975;921.2
01.04.1975;934.1
01.07.1975;959
01.10.1975;986.4
01.01.1976;1017.6
01.04.1976;1038.4
01.07.1976;1061.2
01.10.1976;1087.7
01.01.1977;1116.3
01.04.1977;1153.4
01.07.1977;1185.3
01.10.1977;1221
01.01.1978;1255.8
01.04.1978;1302.9
01.07.1978;1339.2
01.10.1978;1383
01.01.1979;1427.3
01.04.1979;1458.3
01.07.1979;1498.8
01.10.1979;1539.7
01.01.1980;1579.2
01.04.1980;1600.5
01.07.1980;1631.2
01.10.1980;1694
01.01.1981;1745.2
01.04.1981;1777.5
01.07.1981;1815.4
01.10.1981;1843
01.01.1982;1866.4
01.04.1982;1885.1
01.07.1982;1905.3
01.10.1982;1920.4
01.01.1983;1949.9
01.04.1983;1988.6
01.07.1983;2031.2
01.10.1983;2085.9
01.01.1984;2147.1
01.04.1984;2196.8
01.07.1984;2242.6
01.10.1984;2283.1
01.01.1985;2327
01.04.1985;2365
01.07.1985;2406.7
01.10.1985;2457.1
01.01.1986;2493.3
01.04.1986;2519.1
01.07.1986;2557.1
01.10.1986;2605.9
01.01.1987;2651
01.04.1987;2694.2
01.07.1987;2741.8
01.10.1987;2810.3
01.01.1988;2861
01.04.1988;2926.1
01.07.1988;2978
01.10.1988;3035.1
01.01.1989;3084
01.04.1989;3117.5
01.07.1989;3157.6
01.10.1989;3211.2
01.01.1990;3278.8
01.04.1990;3334.8
01.07.1990;3373.9
01.10.1990;3383.2
01.01.1991;3395.1
01.04.1991;3430.2
01.07.1991;3469.2
01.10.1991;3513.5
01.01.1992;3597.6
01.04.1992;3654.4
01.07.1992;3690.7
01.10.1992;3741.9
01.01.1993;3747.9
01.04.1993;3803.3
01.07.1993;3838
01.10.1993;3893.5
01.01.1994;3917.2
01.04.1994;3997.2
01.07.1994;4035.1
01.10.1994;4091
01.01.1995;4141.3
01.04.1995;4177.6
01.07.1995;4223.7
01.10.1995;4268
01.01.1996;4321.4
01.04.1996;4393.5
01.07.1996;4455.7
01.10.1996;4517.9
01.01.1997;4599.5
01.04.1997;4665.8
01.07.1997;4745.4
01.10.1997;4848.1
01.01.1998;4950.4
01.04.1998;5035.9
01.07.1998;5120.9
01.10.1998;5204.2
01.01.1999;5298.8
01.04.1999;5352.5
01.07.1999;5429.7
01.10.1999;5560.2
01.01.2000;5759.9
01.04.2000;5800.8
01.07.2000;5914
01.10.2000;5951.7
01.01.2001;6059.4
01.04.2001;6050.2
01.07.2001;6033.7
01.10.2001;6042.9
01.01.2002;6074.8
01.04.2002;6137.7
01.07.2002;6161.4
01.10.2002;6193.7
01.01.2003;6226.6
01.04.2003;6318.7
01.07.2003;6403.8
01.10.2003;6508.7
01.01.2004;6565.7
01.04.2004;6690.3
01.07.2004;6823.3
01.10.2004;6878.9
01.01.2005;6952.6
01.04.2005;7027.4
01.07.2005;7142.2
01.10.2005;7225
01.01.2006;7406.9
01.04.2006;7453
01.07.2006;7508.5
01.10.2006;7641
01.01.2007;7832.1
01.04.2007;7866.8
01.07.2007;7902.1
01.10.2007;7992
01.01.2008;8077.9
01.04.2008;8077.3
01.07.2008;8094.9
01.10.2008;8062.8
01.01.2009;7762.4
01.04.2009;7790.5
01.07.2009;7774
01.10.2009;7821
01.01.2010;7801.7
01.04.2010;7947.1
01.07.2010;8019.1
01.10.2010;8077.9
01.01.2011;8209.7
01.04.2011;8248.9
01.07.2011;8332
01.10.2011;8285.4
01.01.2012;8504
01.04.2012;8550
01.07.2012;8587.6
01.10.2012;8798
01.01.2013;8696.7
01.04.2013;8820.4
01.07.2013;8875.7
01.10.2013;8965.9
01.01.2014;9103.7
01.04.2014;9177.3
01.07.2014;9289.9
01.10.2014;9424.9
01.01.2015;9487.9
01.04.2015;9615.2
01.07.2015;9737.1
